"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.491136438E1,6.506047558E1,2.546491846E1,1.351467917E1,1.480000019E0,8.950000000E1,2.000000000E0,1.000000000E2
6.591371622E1,6.506047135E1,2.546495089E1,1.351468441E1,1.539999962E0,9.359999847E1,2.000000000E0,1.000000000E2
6.690161311E1,6.506046862E1,2.546498425E1,1.451468918E1,1.480000019E0,9.580000305E1,2.000000000E0,1.000000000E2
6.790975272E1,6.506046489E1,2.546502105E1,1.351469471E1,1.480000019E0,9.590000153E1,2.000000000E0,1.000000000E2
6.891063676E1,6.506046234E1,2.546505676E1,1.351469967E1,1.459999919E0,9.550000000E1,2.000000000E0,1.000000000E2
6.986550510E1,6.506046095E1,2.546509439E1,1.451470440E1,1.500000000E0,9.680000305E1,2.000000000E0,1.000000000E2
7.089598549E1,6.506046016E1,2.546512951E1,1.451470862E1,1.569999933E0,1.011999969E2,2.000000000E0,1.000000000E2
7.189635295E1,6.506045634E1,2.546516664E1,1.451471423E1,1.719999909E0,1.079000015E2,2.000000000E0,1.000000000E2
7.291037399E1,6.506045090E1,2.546521031E1,1.551472119E1,1.679999948E0,1.139000015E2,2.000000000E0,1.000000000E2
7.390074864E1,6.506044645E1,2.546524384E1,1.551472663E1,1.579999924E0,1.101999969E2,2.000000000E0,1.000000000E2
7.490073322E1,6.506044373E1,2.546527821E1,1.551473151E1,1.549999952E0,1.084000015E2,2.000000000E0,1.000000000E2
7.589807518E1,6.506043975E1,2.546531592E1,1.551473724E1,1.469999909E0,1.011999969E2,2.000000000E0,1.000000000E2
7.690239187E1,6.506043920E1,2.546535096E1,1.551474136E1,1.469999909E0,9.940000153E1,2.500000000E0,1.000000000E2
7.790261056E1,6.506043551E1,2.546538860E1,1.551474697E1,1.350000024E0,9.919999695E1,2.500000000E0,1.000000000E2
7.890237956E1,6.506043438E1,2.546542003E1,1.551475090E1,1.079999924E0,1.029000015E2,2.500000000E0,1.000000000E2
7.990001175E1,6.506043375E1,2.546544936E1,1.551475442E1,1.009999990E0,1.055999985E2,2.500000000E0,1.000000000E2
8.090455417E1,6.506043271E1,2.546547770E1,1.551475798E1,9.300000072E-1,1.073000031E2,2.500000000E0,1.000000000E2
8.190996944E1,6.506043204E1,2.546550066E1,1.551476079E1,7.199999690E-1,1.100000000E2,2.500000000E0,1.000000000E2
8.291597560E1,6.506043040E1,2.546552120E1,1.551476371E1,7.099999785E-1,1.160999985E2,3.000000000E0,1.000000000E2
8.390024125E1,6.506042562E1,2.546554031E1,1.551476767E1,7.899999619E-1,1.211999969E2,2.500000000E0,1.000000000E2
8.491129002E1,6.506042185E1,2.546555481E1,1.551477073E1,9.099999666E-1,1.101999969E2,2.500000000E0,1.000000000E2
8.590666252E1,6.506041414E1,2.546557761E1,1.551477623E1,1.199999928E0,1.155999985E2,3.000000000E0,1.000000000E2
8.691804317E1,6.506040517E1,2.546560108E1,1.551478229E1,1.189999938E0,1.254000015E2,2.500000000E0,1.000000000E2
8.792523740E1,6.506039826E1,2.546562371E1,1.551478746E1,1.179999948E0,1.238000031E2,2.500000000E0,1.000000000E2
8.892357101E1,6.506039461E1,2.546564793E1,1.451479156E1,1.090000033E0,1.241999969E2,2.500000000E0,1.000000000E2
8.990168309E1,6.506039063E1,2.546567660E1,1.351479628E1,1.110000014E0,1.251999969E2,2.500000000E0,1.000000000E2
9.090998132E1,6.506038271E1,2.546570149E1,1.251480209E1,1.220000029E0,1.245999985E2,2.500000000E0,1.000000000E2
9.190650316E1,6.506037449E1,2.546573695E1,1.151480919E1,1.009999990E0,1.241999969E2,2.500000000E0,1.000000000E2
9.292040470E1,6.506036435E1,2.546576662E1,1.151481638E1,1.199999928E0,1.239000015E2,2.500000000E0,1.000000000E2
9.390407197E1,6.506035010E1,2.546579973E1,1.151482553E1,1.339999914E0,1.298000031E2,2.500000000E0,1.000000000E2
9.491650624E1,6.506033489E1,2.546583326E1,1.251483509E1,1.569999933E0,1.308000031E2,2.000000000E0,1.000000000E2
9.590417986E1,6.506032207E1,2.546587290E1,1.251484442E1,1.370000005E0,1.243000031E2,2.500000000E0,1.000000000E2
9.687143024E1,6.506031507E1,2.546590827E1,1.251485104E1,1.269999981E0,1.204000015E2,2.500000000E0,1.000000000E2
9.789850193E1,6.506030933E1,2.546593870E1,1.251485663E1,1.269999981E0,1.060999985E2,2.000000000E0,1.000000000E2
9.890915001E1,6.506030279E1,2.546597281E1,1.251486293E1,1.230000019E0,9.900000000E1,2.500000000E0,1.000000000E2
9.989603512E1,6.506029604E1,2.546601975E1,1.151487075E1,1.189999938E0,9.980000305E1,2.000000000E0,1.000000000E2
1.009106800E2,6.506028963E1,2.546606024E1,1.151487771E1,1.169999957E0,9.919999695E1,2.500000000E0,1.000000000E2
1.018899766E2,6.506028343E1,2.546610123E1,1.151488465E1,1.039999962E0,1.010000000E2,2.500000000E0,1.000000000E2
1.028454207E2,6.506027902E1,2.546614481E1,1.151489119E1,1.389999986E0,9.930000305E1,2.500000000E0,1.000000000E2
1.038516628E2,6.506027429E1,2.546618312E1,1.051489727E1,1.500000000E0,9.809999847E1,2.500000000E0,1.000000000E2
1.048633808E2,6.506027148E1,2.546622360E1,1.151490285E1,1.539999962E0,9.569999695E1,2.500000000E0,1.000000000E2
1.058571352E2,6.506027182E1,2.546626199E1,1.051490700E1,1.459999919E0,9.550000000E1,2.500000000E0,1.000000000E2
1.068653833E2,6.506026997E1,2.546630256E1,1.051491222E1,1.500000000E0,9.769999695E1,2.500000000E0,1.000000000E2
1.078703746E2,6.506026398E1,2.546633969E1,1.051491865E1,1.500000000E0,9.830000305E1,2.500000000E0,1.000000000E2
1.089129668E2,6.506026205E1,2.546638068E1,1.051492395E1,9.499999881E-1,9.759999847E1,2.500000000E0,1.000000000E2
1.098910444E2,6.506026113E1,2.546641136E1,1.051492772E1,1.000000000E0,9.680000305E1,2.500000000E0,1.000000000E2
1.108710566E2,6.506025782E1,2.546644430E1,1.151493265E1,1.299999952E0,9.480000305E1,3.000000000E0,1.000000000E2
1.119082250E2,6.506025493E1,2.546648436E1,1.151493822E1,1.189999938E0,9.740000153E1,2.500000000E0,1.000000000E2
1.128872924E2,6.506025178E1,2.546652770E1,1.151494425E1,1.199999928E0,9.840000153E1,2.500000000E0,1.000000000E2
1.139105832E2,6.506025115E1,2.546656500E1,1.151494864E1,1.250000000E0,1.045999985E2,2.500000000E0,1.000000000E2
1.149021846E2,6.506024914E1,2.546658151E1,1.151495125E1,2.299999893E-1,1.075999985E2,2.500000000E0,1.000000000E2
