"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.734160128E0,-3.788828850E-3,2.245473862E-2,1.723108292E-1
1.742125216E0,1.481544971E-1,1.067123413E-1,3.030653000E-1
1.750029269E0,4.005229473E-2,1.429953575E-1,4.028539658E-1
1.758024875E0,-3.041791916E-2,1.692128181E-1,4.025726318E-1
1.765959445E0,-5.017644167E-2,2.067780495E-1,3.787841797E-1
1.773863498E0,-1.051582694E-1,1.958203316E-1,3.363132477E-1
1.781798068E0,-1.408805847E-1,2.085785866E-1,2.963895798E-1
1.789732638E0,-6.217736006E-2,2.544336319E-1,2.064018250E-1
1.797697726E0,3.483504057E-2,1.970930099E-1,5.183887482E-2
1.805601779E0,4.758614302E-2,1.425423622E-1,2.148151398E-2
1.813536349E0,3.838270903E-2,1.268596649E-1,8.411026001E-2
1.821440402E0,6.834918261E-2,9.892320633E-2,6.057262421E-2
1.829313937E0,5.178058147E-2,5.605030060E-2,-3.213882446E-2
1.837309543E0,8.486175537E-2,4.881668091E-2,-6.966686249E-2
1.845244113E0,1.399671435E-1,4.649066925E-2,-8.327293396E-2
1.853148166E0,7.378959656E-2,4.923248291E-2,1.424512863E-1
1.861021701E0,-2.221179008E-2,9.020328522E-2,3.659620285E-1
1.868925753E0,-1.004587412E-1,1.443457603E-1,3.892078400E-1
1.876890841E0,5.474972725E-2,1.512808800E-1,3.130989075E-1
1.884825412E0,2.606456280E-1,3.975582123E-2,1.446084976E-1
1.892729464E0,2.789128423E-1,-1.669216156E-2,-1.416015625E-2
1.900633517E0,1.263550520E-1,-9.560585022E-4,-9.159564972E-2
1.908568087E0,-4.673314095E-2,4.684972763E-2,-1.599473953E-1
1.916563693E0,-1.344748139E-1,5.442380905E-2,-2.358551025E-1
1.924498263E0,-1.253631115E-1,5.797863007E-3,-2.863507271E-1
1.932371798E0,-6.001615524E-2,-2.966117859E-2,-2.132244110E-1
1.940275851E0,1.149946451E-2,-7.859992981E-2,-1.551237106E-1
1.948179904E0,1.514471173E-1,-9.114837646E-2,-1.357307434E-1
1.956144992E0,9.501343966E-2,-1.106905937E-1,-5.182075500E-2
1.964049044E0,-6.408393383E-3,-6.791877747E-2,2.491664886E-2
1.971922580E0,-1.559948325E-1,-2.905416489E-2,-1.547017574E0
1.979826632E0,-1.120642424E-1,-3.818273544E-2,-6.161088943E-1
1.987700168E0,-8.237063885E-3,-8.299016953E-2,-3.613872528E-1
1.995695773E0,1.504182816E-1,-4.119586945E-2,-3.611841202E-1
2.003630343E0,1.996315122E-1,-4.542827606E-2,1.452741623E-1
2.011564914E0,2.015365958E-1,-9.716510773E-3,8.040056229E-1
2.019468966E0,3.122073412E-1,3.009796143E-2,1.603660583E0
2.027373019E0,7.052799463E-1,-9.113311768E-3,2.138410568E0
2.035338107E0,1.052020550E0,-1.514105797E-1,1.709984779E0
2.043272677E0,7.559295893E-1,-1.952247620E-1,5.211849213E-1
2.051146212E0,3.995480537E-1,-1.306824684E-1,1.412277222E-1
2.059050265E0,4.162824154E-2,-1.207304001E-1,-2.521677017E-1
2.066954318E0,-3.453082442E-1,4.274749756E-2,-5.876307487E-1
2.074919406E0,-5.460925102E-1,1.891746521E-1,-4.691681862E-1
2.082823459E0,-4.835145473E-1,1.543235779E-1,-3.189811707E-1
2.090819064E0,-3.665160537E-1,1.366386414E-1,-2.788476944E-1
2.098723117E0,-3.401839733E-1,1.542291641E-1,-1.133623123E-1
2.106627169E0,-7.203125954E-2,1.631231308E-1,-8.990001678E-2
2.114592257E0,2.197257876E-1,-6.008625031E-3,-6.047248840E-3
2.122496310E0,9.449493885E-2,-2.505064011E-2,3.300952911E-1
2.130400363E0,-1.249916553E-1,1.211934090E-1,7.468557358E-1
2.138304416E0,-2.115093470E-1,1.912713051E-1,6.898307800E-1
2.146177951E0,-2.344781756E-1,2.293372154E-1,5.692720413E-1
2.154173556E0,-1.282486320E-1,2.584433556E-1,2.981300354E-1
2.162108126E0,-1.000652909E-1,1.956329346E-1,1.378355026E-1
2.169981662E0,-7.392734289E-2,2.067008018E-1,-2.935886383E-2
2.177855197E0,-3.634715080E-2,1.772603989E-1,-1.679582596E-1
2.185789767E0,-4.213345051E-2,1.891679764E-1,-2.566866875E-1
2.193785373E0,-1.046904325E-1,1.595907211E-1,-3.008766174E-1
2.201719943E0,-1.163259745E-1,1.792016029E-1,-2.452740669E-1
2.209593478E0,-1.243357658E-1,1.563634872E-1,-8.573055267E-2
2.217528048E0,-1.619857550E-2,1.844420433E-1,2.350177765E-1
2.225462619E0,4.930907488E-2,2.533559799E-1,3.622226715E-1
2.233458224E0,3.157866001E-2,2.075791359E-1,4.125156403E-1
2.241392794E0,8.114421368E-2,2.804536819E-1,4.609375000E-1
2.249327365E0,5.851447582E-2,1.656675339E-1,5.243053436E-1
2.257231418E0,7.763212919E-2,1.205377579E-1,5.612945557E-1
2.265135470E0,3.250688314E-2,8.441972733E-2,5.707874298E-1
2.273100558E0,6.330054998E-2,6.954479218E-2,5.620908737E-1
2.281004611E0,9.334045649E-2,1.676306725E-1,3.966169357E-1
2.288878146E0,5.410319567E-2,1.152453423E-1,1.726608276E-1
2.296782199E0,5.345851183E-2,1.940417290E-1,8.474922180E-2
2.304686251E0,-9.108603001E-3,1.583557129E-1,-8.697891235E-2
2.312651339E0,-8.480727673E-3,1.534924507E-1,-1.985044479E-1
2.320524875E0,4.559820294E-1,-1.045465469E-1,-2.888827324E-1
2.328459445E0,4.987967014E-1,-1.705074310E-2,-5.617041588E-1
2.336394015E0,3.325190246E-1,-1.554489136E-2,-1.587495804E-1
2.344328585E0,2.655438185E-1,-4.210948944E-2,7.705116272E-2
2.352293673E0,1.012511849E-1,6.804943085E-2,3.343219757E-1
2.360228244E0,-1.610970497E-1,1.319532394E-1,3.601217270E-1
2.368101779E0,-8.596038818E-2,1.982221603E-1,2.894592285E-1
2.376036349E0,2.631866932E-2,2.169761658E-1,1.602954865E-1
2.383940402E0,1.205709577E-1,1.667728424E-1,-1.686935425E-1
2.391936007E0,2.321960628E-1,1.656804085E-1,-4.418807030E-1
2.399870578E0,3.385005891E-1,2.124457359E-1,-6.433982849E-1
2.407805148E0,3.281625211E-1,2.824430466E-1,-7.552027702E-1
2.415739718E0,2.792003453E-1,3.390898705E-1,-7.767095566E-1
2.423643771E0,1.849170327E-1,3.559484482E-1,-7.197875977E-1
2.431608859E0,2.529945076E-1,2.851362228E-1,-7.113895416E-1
2.439482394E0,5.824031830E-1,3.083753586E-2,-8.114733696E-1
2.447355929E0,7.157711387E-1,-6.656217575E-2,1.149711609E-1
2.455259982E0,8.837280273E-1,-8.792495728E-2,9.164719582E-1
2.463133517E0,9.960917234E-1,-5.158376694E-2,5.043101311E-1
2.471098605E0,8.452582955E-1,-2.410640717E-1,3.993835449E-1
2.479063693E0,7.809077501E-1,-3.125119209E-1,3.267216682E-1
2.486937228E0,6.505390406E-1,-4.631152153E-1,1.445784569E-1
2.494841281E0,5.174400806E-1,-4.572839737E-1,-3.785123825E-1
2.502714816E0,2.518320084E-1,-2.847766876E-1,-2.240605354E-1
2.510679904E0,4.032723606E-3,-2.063245773E-1,-1.466398239E-1
2.518583957E0,-3.553124070E-1,5.627870560E-2,9.965896606E-3
2.526518527E0,-7.660294175E-1,2.654805183E-1,7.372140884E-2
2.534422580E0,-9.971811771E-1,3.898248672E-1,-1.371188164E-1
2.542357150E0,-1.068034172E0,4.573769569E-1,-3.221654892E-1
2.550352755E0,-9.463311434E-1,4.478521347E-1,-3.575148582E-1
2.558256808E0,-8.132182360E-1,4.463124275E-1,-1.754097939E-1
2.566130343E0,-7.261441946E-1,4.581460953E-1,-1.559877396E-2
2.574034396E0,-4.560742378E-1,4.369931221E-1,9.471035004E-2
2.581907931E0,-3.374671340E-1,3.808536530E-1,2.107572556E-1
2.589873019E0,-4.455709457E-2,3.547410965E-1,2.080626488E-1
2.597807589E0,1.333378553E-1,2.814283371E-1,6.076431274E-2
2.605711642E0,3.352859020E-1,1.634697914E-1,-1.098680496E-2
2.613585177E0,2.628904581E-1,1.133003235E-1,-1.267833710E-1
2.621519748E0,8.732059598E-2,6.293344498E-2,-1.450366974E-1
2.629515353E0,-2.695739269E-1,1.570873260E-1,-9.170866013E-2
2.637419406E0,-6.343711615E-1,1.907396317E-1,1.646232605E-1
2.645323459E0,-5.245527625E-1,1.914329529E-1,2.539896965E-1
2.653227511E0,-3.573760986E-1,6.096553802E-2,3.151259422E-1
2.661131564E0,-2.502344251E-1,-4.820823669E-3,3.100261688E-1
2.669096652E0,-2.220752835E-1,-4.739952087E-2,2.538056374E-1
2.677000705E0,-2.174316645E-1,-3.592777252E-2,2.807807922E-1
2.684874240E0,-2.509223819E-1,-3.292846680E-2,3.410582542E-1
2.692778293E0,-7.752561569E-2,-1.069068909E-2,2.906684875E-1
2.700682345E0,1.450684071E-1,-1.218190193E-1,1.187934875E-1
2.708616916E0,3.469776213E-1,-2.305979729E-1,-8.525657654E-2
2.716520968E0,4.492088556E-1,-2.893695831E-1,-1.251940727E-1
2.724425021E0,4.422296882E-1,-2.571253777E-1,2.186012268E-2
2.732329074E0,4.262272716E-1,-2.444038391E-1,9.741353989E-2
2.740233126E0,3.931454420E-1,-2.209801674E-1,1.349210739E-2
2.748228732E0,3.707098067E-1,-1.979837418E-1,-3.668403625E-2
2.756102267E0,3.405334353E-1,-1.775269508E-1,-8.917808533E-2
2.763975802E0,3.024586737E-1,-1.614131927E-1,-1.252899170E-1
2.771879855E0,2.648854256E-1,-1.782393456E-1,-1.546077728E-1
2.779783908E0,2.761231959E-1,-1.542892456E-1,-2.078475952E-1
2.787718478E0,1.772346497E-1,-1.137180328E-1,-2.847518921E-1
2.795622531E0,2.853709459E-2,-7.558202744E-2,-3.087491989E-1
2.803496066E0,-7.190227509E-2,-1.826095581E-2,-3.565206528E-1
2.811400119E0,-1.158261895E-1,8.701801300E-3,-2.994213104E-1
2.819273654E0,-9.506344795E-2,3.146839142E-2,-2.283992767E-1
2.827238742E0,3.522717953E-2,7.416248322E-3,-6.963348389E-2
2.835173312E0,2.400598526E-1,-6.824684143E-2,7.143259048E-2
2.843077365E0,2.951186895E-1,-5.995893478E-2,9.737062454E-2
2.850981418E0,3.180514574E-1,-5.166292191E-2,5.380630493E-2
2.858854953E0,2.810037732E-1,-6.771135330E-2,9.608268738E-4
2.866850558E0,1.888854802E-1,-7.689476013E-2,-1.091036797E-1
2.874815646E0,1.427944005E-1,-5.307674408E-2,-2.977528572E-1
2.882719699E0,9.226286411E-2,-4.323291779E-2,-3.669567108E-1
